FileName OldFileName UpdateDate Res
OMNI-5min-2005.bin omni_5min2005.asc 20190722180554 5
OMNI-1min-2012.bin omni_min2012.asc 20190722180609 1
OMNI-1min-2015.bin omni_min2015.asc 20220204160218 1
OMNI-5min-2002.bin omni_5min2002.asc 20190722180548 5
OMNI-1min-1982.bin omni_min1982.asc 20190722180502 1
OMNI-5min-1995.bin omni_5min1995.asc 20190722180534 5
OMNI-5min-1992.bin omni_5min1992.asc 20190722180527 5
OMNI-1min-1985.bin omni_min1985.asc 20190722180511 1
OMNI-1min-2020.bin omni_min2020.asc 20230522154534 1
OMNI-5min-2021.bin omni_5min2021.asc 20221216163242 5
OMNI-5min-1983.bin omni_5min1983.asc 20190722180508 5
OMNI-1min-1994.bin omni_min1994.asc 20190722180530 1
OMNI-1min-1993.bin omni_min1993.asc 20190722180528 1
OMNI-5min-1984.bin omni_5min1984.asc 20190722180510 5
OMNI-1min-2004.bin omni_min2004.asc 20190722180551 1
OMNI-5min-2013.bin omni_5min2013.asc 20230627165850 5
OMNI-5min-2014.bin omni_5min2014.asc 20220204160214 5
OMNI-1min-2003.bin omni_min2003.asc 20190722180549 1
OMNI-1min-2021.bin omni_min2021.asc 20221216163241 1
OMNI-5min-1993.bin omni_5min1993.asc 20190722180529 5
OMNI-1min-1984.bin omni_min1984.asc 20190722180509 1
OMNI-1min-1983.bin omni_min1983.asc 20190722180508 1
OMNI-5min-1994.bin omni_5min1994.asc 20190722180532 5
OMNI-1min-2014.bin omni_min2014.asc 20220204160213 1
OMNI-5min-2003.bin omni_5min2003.asc 20190722180550 5
OMNI-5min-2004.bin omni_5min2004.asc 20190722180552 5
OMNI-1min-2013.bin omni_min2013.asc 20230627165848 1
OMNI-5min-2015.bin omni_5min2015.asc 20220204160219 5
OMNI-1min-2002.bin omni_min2002.asc 20190722180546 1
OMNI-1min-2005.bin omni_min2005.asc 20190722180553 1
OMNI-5min-2012.bin omni_5min2012.asc 20190722180610 5
OMNI-1min-1992.bin omni_min1992.asc 20190722180527 1
OMNI-5min-1985.bin omni_5min1985.asc 20190722180512 5
OMNI-5min-1982.bin omni_5min1982.asc 20190722180502 5
OMNI-1min-1995.bin omni_min1995.asc 20190722180533 1
OMNI-5min-2020.bin omni_5min2020.asc 20230522154534 5
OMNI-1min-2006.bin omni_min2006.asc 20190722180555 1
OMNI-5min-2011.bin omni_5min2011.asc 20190722180608 5
OMNI-5min-2016.bin omni_5min2016.asc 20220204160225 5
OMNI-1min-2001.bin omni_min2001.asc 20190722180544 1
OMNI-5min-2018.bin omni_5min2018.asc 20220729113734 5
OMNI-1min-2008.bin omni_min2008.asc 20190722180600 1
OMNI-5min-1981.bin omni_5min1981.asc 20190722180457 5
OMNI-1min-1996.bin omni_min1996.asc 20190722180535 1
OMNI-1min-1991.bin omni_min1991.asc 20190722180525 1
OMNI-5min-1986.bin omni_5min1986.asc 20190722180515 5
OMNI-5min-2023.bin omni_5min2023.asc 20230927151158 5
OMNI-5min-1988.bin omni_5min1988.asc 20190722180518 5
OMNI-1min-1998.bin omni_min1998.asc 20190722180538 1
OMNI-1min-2022.bin omni_min2022.asc 20230301182330 1
OMNI-1min-1989.bin omni_min1989.asc 20190722180520 1
OMNI-5min-1999.bin omni_5min1999.asc 20190722180541 5
OMNI-5min-1997.bin omni_5min1997.asc 20190722180537 5
OMNI-5min-1990.bin omni_5min1990.asc 20190722180522 5
OMNI-1min-1987.bin omni_min1987.asc 20190722180516 1
OMNI-1min-2019.bin omni_min2019.asc 20221007170831 1
OMNI-5min-2009.bin omni_5min2009.asc 20190722180602 5
OMNI-5min-2007.bin omni_5min2007.asc 20190722180558 5
OMNI-1min-2010.bin omni_min2010.asc 20190722180605 1
OMNI-1min-2017.bin omni_min2017.asc 20220204160232 1
OMNI-5min-2000.bin omni_5min2000.asc 20190722180543 5
OMNI-1min-1999.bin omni_min1999.asc 20190722180541 1
OMNI-5min-2022.bin omni_5min2022.asc 20230301182330 5
OMNI-5min-1989.bin omni_5min1989.asc 20190722180520 5
OMNI-1min-1990.bin omni_min1990.asc 20190722180521 1
OMNI-5min-1987.bin omni_5min1987.asc 20190722180516 5
OMNI-1min-1997.bin omni_min1997.asc 20190722180537 1
OMNI-1min-2009.bin omni_min2009.asc 20190722180602 1
OMNI-5min-2019.bin omni_5min2019.asc 20221007170832 5
OMNI-5min-2017.bin omni_5min2017.asc 20220204160233 5
OMNI-1min-2000.bin omni_min2000.asc 20190722180542 1
OMNI-1min-2007.bin omni_min2007.asc 20190722180558 1
OMNI-5min-2010.bin omni_5min2010.asc 20190722180606 5
OMNI-1min-2016.bin omni_min2016.asc 20220204160224 1
OMNI-5min-2001.bin omni_5min2001.asc 20190722180545 5
OMNI-5min-2006.bin omni_5min2006.asc 20190722180556 5
OMNI-1min-2011.bin omni_min2011.asc 20190722180607 1
OMNI-5min-2008.bin omni_5min2008.asc 20190722180600 5
OMNI-1min-2018.bin omni_min2018.asc 20220729113733 1
OMNI-5min-1991.bin omni_5min1991.asc 20190722180525 5
OMNI-1min-1986.bin omni_min1986.asc 20190722180513 1
OMNI-1min-1981.bin omni_min1981.asc 20190722180455 1
OMNI-5min-1996.bin omni_5min1996.asc 20190722180535 5
OMNI-5min-1998.bin omni_5min1998.asc 20190722180540 5
OMNI-1min-2023.bin omni_min2023.asc 20230927151157 1
OMNI-1min-1988.bin omni_min1988.asc 20190722180518 1
